data,Libya,Sebha_idp,Aljufra_idp,Aljufra_non_displaced,Tripoli_idp,Wadi Ashshati_non_displaced,Wadi Ashshati_idp,Aljfara_non_displaced,Sebha_non_displaced,Tripoli_non_displaced,Aljfara_idp,Ejdabia_non_displaced,Tripoli_returnee,Alkufra_idp,Sirt_non_displaced,Ghat_non_displaced,Al Jabal Al Gharbi_non_displaced,Derna_returnee,Azzawya_non_displaced,Zwara_non_displaced,Ejdabia_idp,Alkufra_non_displaced,Al Jabal Al Gharbi_idp,Sirt_returnee,Sirt_idp,Murzuq_non_displaced,Sebha_returnee,Misrata_non_displaced,Misrata_idp,Ghat_idp,Zwara_idp,Murzuq_idp,Al Jabal Al Gharbi_returnee,Alkufra_returnee,Benghazi_returnee,Benghazi_idp,Derna_non_displaced,Benghazi_non_displaced,Azzawya_idp,Aljfara_returnee,Derna_idp,Murzuq_returnee,Azzawya_returnee,Ubari_non_displaced,Ubari_idp,Zwara_returnee,Ghat_returnee,Misrata_returnee,Wadi Ashshati_returnee,Ubari_returnee,Ejdabia_returnee
Sirt,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebha,3,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubari,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0
Murzuq,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
Wadi Ashshati,1,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Alkufra,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aljufra,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
How old is the head of the household?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,48.1552202966168,52.4854368932039,42.0666666666667,41.4504504504505,46.8783783783784,52.7735849056604,47,43.758064516129,54,46.9885057471264,45.6833333333333,49.2777777777778,50.8125,41.8305084745763,46.4666666666667,50.6,45.4954954954955,44.1333333333333,46.621359223301,45.0721649484536,46.0326086956522,49.377358490566,43.75,45.3008849557522,46.0105263157895,49.3932584269663,51.4024390243902,48.6761904761905,44.6923076923077,46.6698113207547,47.5238095238095,52.2894736842105,45.2233009708738,49.7222222222222,51.680412371134,51.9102564102564,47.4305555555556,54.1904761904762,47.5,47.0416666666667,50.9444444444444,53.6086956521739,48,46.4077669902913,51.5753424657534,46.5308641975309,46.6617647058824,54.5263157894737,47.2121212121212,45.2539682539683,46.3333333333333
What is the sex of the head of household?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Male,93,90,100,95,96,98,95,98,91,94,100,94,96,88,93,91,91,92,90,95,95,89,95,92,93,85,88,90,97,81,92,82,90,96,89,82,96,95,96,100,97,96,89,94,84,99,93,100,94,90,96
Female,7,10,0,5,4,2,5,2,9,6,0,6,4,12,7,9,9,8,10,5,5,11,5,8,7,15,12,10,3,19,8,18,10,4,11,18,4,5,4,0,3,4,11,6,16,1,7,0,6,10,4
Was your household living in this baladiya prior to 2011?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Yes,91,0,0,99,0,98,0,68,100,93,0,99,100,0,100,99,95,100,100,99,0,97,0,100,0,97,100,97,0,0,0,0,100,100,100,0,97,99,0,100,0,100,100,97,0,100,100,100,100,100,100
No,9,100,100,1,100,2,100,32,0,7,100,1,0,100,0,1,5,0,0,1,100,3,100,0,100,3,0,3,100,100,100,100,0,0,0,100,3,1,100,0,100,0,0,3,100,0,0,0,0,0,0
Has your household been displaced from this baladiya since 2011 as a result of the conflict?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
No,91,,,100,,100,,100,100,100,,100,0,,100,100,100,0,100,100,,100,,0,,100,0,100,,,,,0,0,0,,100,100,,0,,0,0,100,,0,0,0,0,0,0
Yes,9,,,0,,0,,0,0,0,,0,100,,0,0,0,100,0,0,,0,,100,,0,100,0,,,,,100,100,100,,0,0,,100,,100,100,0,,100,100,100,100,100,100
Has your household been displaced from your baladiya of origin because of the conflict?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
No,94,0,0,100,0,100,0,100,,100,0,100,,0,,100,100,,,100,0,100,0,,0,100,,100,0,0,0,0,,,,0,100,100,0,,0,,,100,0,,,,,,
Yes,6,100,100,0,100,0,100,0,,0,100,0,,100,,0,0,,,0,100,0,100,,100,0,,0,100,100,100,100,,,,100,0,0,100,,100,,,0,100,,,,,,
Displacement_status,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
non_displaced,87,0,0,100,0,100,0,100,100,100,0,100,0,0,100,100,100,0,100,100,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0
returnee,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,100,100,100,100
idp,5,100,100,0,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,100,0,0,0,100,100,100,100,0,0,0,100,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0
How many people live in your household (including the interviewee)?,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,5.15935870724219,6.16504854368932,5.58666666666667,5.77477477477477,5.16216216216216,6.26415094339623,6.21428571428571,4.51612903225806,7.39130434782609,4.90804597701149,4.81666666666667,5.93055555555556,4.80357142857143,4.64406779661017,5.41111111111111,5.6,5.09009009009009,4.04761904761905,4.92233009708738,5.41237113402062,5.66304347826087,5.66981132075472,4.72115384615385,5.2212389380531,4.92631578947368,5.43820224719101,6.42682926829268,5,4.65384615384615,5.22641509433962,5,5.10526315789474,5.38834951456311,5.92592592592593,5.02061855670103,4.69230769230769,4.81944444444444,5.27380952380952,4.81632653061224,5.375,5.65277777777778,5.82608695652174,4.8936170212766,6.14563106796117,5.32876712328767,5.88888888888889,5.17647058823529,7.31578947368421,6.27272727272727,4.79365079365079,5.6140350877193
Infants 0-5years: (male),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.312417676959753,0.203883495145631,0.506666666666667,0.621621621621622,0.5,0.30188679245283,0.30952380952381,0.241935483870968,0.478260869565217,0.379310344827586,0.2,0.319444444444444,0.25,0.491525423728814,0.377777777777778,0.294117647058824,0.36036036036036,0.361904761904762,0.242718446601942,0.474226804123711,0.423913043478261,0.367924528301887,0.317307692307692,0.469026548672566,0.357894736842105,0.51685393258427,0.353658536585366,0.342857142857143,0.355769230769231,0.358490566037736,0.226190476190476,0.289473684210526,0.446601941747573,0.222222222222222,0.11340206185567,0.217948717948718,0.263888888888889,0.0952380952380952,0.255102040816327,0.25,0.125,0.304347826086957,0.170212765957447,0.466019417475728,0.383561643835616,0.345679012345679,0.367647058823529,0.263157894736842,0.515151515151515,0.317460317460317,0.491228070175439
Children 6-14 years: (male),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.536117223958131,0.398058252427184,0.68,0.855855855855856,0.567567567567568,0.584905660377358,1.0952380952381,0.354838709677419,0.543478260869565,0.436781609195402,0.25,0.555555555555556,0.633928571428571,0.322033898305085,0.833333333333333,0.435294117647059,0.423423423423423,0.295238095238095,0.650485436893204,0.618556701030928,0.739130434782609,0.311320754716981,0.403846153846154,0.849557522123894,0.536842105263158,0.617977528089888,0.597560975609756,0.447619047619048,0.394230769230769,0.452830188679245,0.547619047619048,0.447368421052632,0.524271844660194,0.37037037037037,0.77319587628866,0.384615384615385,0.666666666666667,0.583333333333333,0.663265306122449,0.291666666666667,0.805555555555556,0.826086956521739,0.319148936170213,0.728155339805825,0.315068493150685,0.938271604938272,0.558823529411765,0.526315789473684,0.909090909090909,0.793650793650794,0.421052631578947
Youth 15-17 years: (male),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.326988009509859,0.427184466019417,0.4,0.522522522522523,0.351351351351351,0.358490566037736,0.5,0.32258064516129,0.467391304347826,0.149425287356322,0.216666666666667,0.402777777777778,0.125,0.254237288135593,0.477777777777778,0.164705882352941,0.27027027027027,0.19047619047619,0.368932038834951,0.412371134020619,0.33695652173913,0.216981132075472,0.288461538461538,0.31858407079646,0.315789473684211,0.258426966292135,0.426829268292683,0.333333333333333,0.221153846153846,0.292452830188679,0.404761904761905,0.315789473684211,0.495145631067961,0.37037037037037,0.350515463917526,0.243589743589744,0.611111111111111,0.428571428571429,0.295918367346939,0.208333333333333,0.972222222222222,0.304347826086957,0.25531914893617,0.320388349514563,0.383561643835616,0.382716049382716,0.205882352941176,0.789473684210526,0.454545454545455,0.26984126984127,0.421052631578947
Adults 18-64: (male),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,1.47510785846803,2.0873786407767,1.13333333333333,1.05405405405405,1.44594594594595,2.05660377358491,1.45238095238095,1.38709677419355,2.33695652173913,1.39080459770115,1.63333333333333,1.48611111111111,1.38392857142857,1.23728813559322,1.13333333333333,1.91764705882353,1.54054054054054,1.15238095238095,1.27184466019417,1.4020618556701,1.31521739130435,1.77358490566038,1.32692307692308,1.09734513274336,1.29473684210526,1.31460674157303,2.02439024390244,1.59047619047619,1.44230769230769,1.61320754716981,1.39285714285714,1.42105263157895,1.3495145631068,1.88888888888889,1.58762886597938,1.57692307692308,1.27777777777778,1.58333333333333,1.31632653061224,1.91666666666667,1.26388888888889,1.47826086956522,1.40425531914894,1.53398058252427,1.47945205479452,1.61728395061728,1.36764705882353,1.84210526315789,1.57575757575758,1.34920634920635,1.40350877192982
Elderly 65+ years: (male),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.100901346275152,0.0776699029126214,0.186666666666667,0.288288288288288,0.0945945945945946,0.264150943396226,0.119047619047619,0.032258064516129,0.173913043478261,0.0919540229885057,0.0833333333333333,0.180555555555556,0.142857142857143,0.0338983050847458,0.0444444444444444,0.129411764705882,0.0900900900900901,0.0952380952380952,0.0388349514563107,0.0103092783505155,0.108695652173913,0.150943396226415,0.0576923076923077,0.0265486725663717,0.0736842105263158,0.112359550561798,0.109756097560976,0.0761904761904762,0.0576923076923077,0.0283018867924528,0.0476190476190476,0.131578947368421,0.155339805825243,0.148148148148148,0.123711340206186,0.141025641025641,0.0138888888888889,0.214285714285714,0.102040816326531,0.125,0.0138888888888889,0.130434782608696,0.0425531914893617,0.213592233009709,0.178082191780822,0.0246913580246914,0.0588235294117647,0.631578947368421,0.121212121212121,0.111111111111111,0.0350877192982456
nb_male,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,2.75153211517092,3.19417475728155,2.90666666666667,3.34234234234234,2.95945945945946,3.56603773584906,3.47619047619048,2.33870967741935,4,2.44827586206897,2.38333333333333,2.94444444444444,2.53571428571429,2.33898305084746,2.86666666666667,2.94117647058824,2.68468468468468,2.0952380952381,2.57281553398058,2.91752577319588,2.92391304347826,2.82075471698113,2.39423076923077,2.76106194690265,2.57894736842105,2.82022471910112,3.51219512195122,2.79047619047619,2.47115384615385,2.74528301886792,2.61904761904762,2.60526315789474,2.97087378640777,3,2.94845360824742,2.56410256410256,2.83333333333333,2.9047619047619,2.63265306122449,2.79166666666667,3.18055555555556,3.04347826086957,2.19148936170213,3.2621359223301,2.73972602739726,3.30864197530864,2.55882352941176,4.05263157894737,3.57575757575758,2.84126984126984,2.7719298245614
under18_male,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,1.17552291042774,1.02912621359223,1.58666666666667,2,1.41891891891892,1.24528301886792,1.9047619047619,0.919354838709677,1.48913043478261,0.96551724137931,0.666666666666667,1.27777777777778,1.00892857142857,1.06779661016949,1.68888888888889,0.894117647058824,1.05405405405405,0.847619047619048,1.2621359223301,1.50515463917526,1.5,0.89622641509434,1.00961538461538,1.63716814159292,1.21052631578947,1.39325842696629,1.3780487804878,1.12380952380952,0.971153846153846,1.10377358490566,1.17857142857143,1.05263157894737,1.46601941747573,0.962962962962963,1.23711340206186,0.846153846153846,1.54166666666667,1.10714285714286,1.21428571428571,0.75,1.90277777777778,1.43478260869565,0.74468085106383,1.51456310679612,1.08219178082192,1.66666666666667,1.13235294117647,1.57894736842105,1.87878787878788,1.38095238095238,1.33333333333333
over18_male,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,1.57600920474318,2.16504854368932,1.32,1.34234234234234,1.54054054054054,2.32075471698113,1.57142857142857,1.41935483870968,2.51086956521739,1.48275862068966,1.71666666666667,1.66666666666667,1.52678571428571,1.27118644067797,1.17777777777778,2.04705882352941,1.63063063063063,1.24761904761905,1.31067961165049,1.41237113402062,1.42391304347826,1.92452830188679,1.38461538461538,1.12389380530973,1.36842105263158,1.42696629213483,2.13414634146341,1.66666666666667,1.5,1.64150943396226,1.44047619047619,1.55263157894737,1.50485436893204,2.03703703703704,1.71134020618557,1.71794871794872,1.29166666666667,1.79761904761905,1.41836734693878,2.04166666666667,1.27777777777778,1.60869565217391,1.4468085106383,1.74757281553398,1.65753424657534,1.64197530864198,1.42647058823529,2.47368421052632,1.6969696969697,1.46031746031746,1.43859649122807
school_aged_boys,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.863105233467991,0.825242718446602,1.08,1.37837837837838,0.918918918918919,0.943396226415094,1.5952380952381,0.67741935483871,1.01086956521739,0.586206896551724,0.466666666666667,0.958333333333333,0.758928571428571,0.576271186440678,1.31111111111111,0.6,0.693693693693694,0.485714285714286,1.01941747572816,1.03092783505155,1.07608695652174,0.528301886792453,0.692307692307692,1.16814159292035,0.852631578947368,0.876404494382023,1.02439024390244,0.780952380952381,0.615384615384615,0.745283018867924,0.952380952380952,0.763157894736842,1.01941747572816,0.740740740740741,1.12371134020619,0.628205128205128,1.27777777777778,1.01190476190476,0.959183673469388,0.5,1.77777777777778,1.1304347826087,0.574468085106383,1.04854368932039,0.698630136986301,1.32098765432099,0.764705882352941,1.31578947368421,1.36363636363636,1.06349206349206,0.842105263157895
Infants 0-5years: (female),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.282589651898245,0.223300970873786,0.306666666666667,0.234234234234234,0.256756756756757,0.226415094339623,0.285714285714286,0.32258064516129,0.33695652173913,0.413793103448276,0.216666666666667,0.319444444444444,0.258928571428571,0.406779661016949,0.255555555555556,0.282352941176471,0.396396396396396,0.285714285714286,0.242718446601942,0.22680412371134,0.260869565217391,0.264150943396226,0.394230769230769,0.380530973451327,0.252631578947368,0.258426966292135,0.365853658536585,0.295238095238095,0.336538461538462,0.358490566037736,0.202380952380952,0.157894736842105,0.436893203883495,0.444444444444444,0.0927835051546392,0.115384615384615,0.138888888888889,0.130952380952381,0.173469387755102,0.208333333333333,0.0416666666666667,0.260869565217391,0.127659574468085,0.446601941747573,0.383561643835616,0.333333333333333,0.485294117647059,0.157894736842105,0.363636363636364,0.19047619047619,0.315789473684211
Children 6-14 years: (female),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.378734837794859,0.475728155339806,0.706666666666667,0.54954954954955,0.324324324324324,0.415094339622642,0.642857142857143,0.306451612903226,0.423913043478261,0.35632183908046,0.183333333333333,0.513888888888889,0.553571428571429,0.23728813559322,0.722222222222222,0.270588235294118,0.36036036036036,0.20952380952381,0.436893203883495,0.597938144329897,0.641304347826087,0.462264150943396,0.384615384615385,0.672566371681416,0.442105263157895,0.741573033707865,0.390243902439024,0.20952380952381,0.201923076923077,0.443396226415094,0.464285714285714,0.526315789473684,0.388349514563107,0.425925925925926,0.288659793814433,0.141025641025641,0.277777777777778,0.333333333333333,0.408163265306122,0.25,0.416666666666667,0.652173913043478,0.723404255319149,0.398058252427184,0.438356164383562,0.493827160493827,0.220588235294118,0.315789473684211,0.363636363636364,0.285714285714286,0.614035087719298
Youth 15-17 years: (female),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.239325724523045,0.378640776699029,0.36,0.234234234234234,0.216216216216216,0.358490566037736,0.238095238095238,0.129032258064516,0.391304347826087,0.218390804597701,0.25,0.333333333333333,0.0892857142857143,0.288135593220339,0.277777777777778,0.235294117647059,0.243243243243243,0.180952380952381,0.242718446601942,0.288659793814433,0.152173913043478,0.386792452830189,0.173076923076923,0.194690265486726,0.357894736842105,0.224719101123595,0.390243902439024,0.133333333333333,0.173076923076923,0.264150943396226,0.380952380952381,0.236842105263158,0.242718446601942,0.407407407407407,0.11340206185567,0.230769230769231,0.430555555555556,0.285714285714286,0.285714285714286,0.458333333333333,0.638888888888889,0.434782608695652,0.340425531914894,0.271844660194175,0.191780821917808,0.407407407407407,0.220588235294118,0.684210526315789,0.545454545454545,0.253968253968254,0.228070175438596
Adults 18-64: (female),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,1.42681848360752,1.78640776699029,1.12,1.12612612612613,1.33783783783784,1.62264150943396,1.30952380952381,1.35483870967742,2.17391304347826,1.3448275862069,1.65,1.63888888888889,1.28571428571429,1.35593220338983,1.24444444444444,1.82352941176471,1.31531531531532,1.23809523809524,1.35922330097087,1.31958762886598,1.56521739130435,1.64150943396226,1.30769230769231,1.19469026548673,1.25263157894737,1.23595505617978,1.65853658536585,1.51428571428571,1.40384615384615,1.37735849056604,1.30952380952381,1.47368421052632,1.2621359223301,1.53703703703704,1.55670103092784,1.53846153846154,1.125,1.57142857142857,1.28571428571429,1.45833333333333,1.34722222222222,1.08695652173913,1.42553191489362,1.62135922330097,1.41095890410959,1.28395061728395,1.63235294117647,1.63157894736842,1.3030303030303,1.20634920634921,1.66666666666667
Elderly 65+ years: (female),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.0803578942475893,0.106796116504854,0.186666666666667,0.288288288288288,0.0675675675675676,0.0754716981132075,0.261904761904762,0.0645161290322581,0.0652173913043478,0.126436781609195,0.133333333333333,0.180555555555556,0.0803571428571429,0.0169491525423729,0.0444444444444444,0.0470588235294118,0.0900900900900901,0.0380952380952381,0.0679611650485437,0.0618556701030928,0.119565217391304,0.0943396226415094,0.0673076923076923,0.0176991150442478,0.0421052631578947,0.157303370786517,0.109756097560976,0.0571428571428571,0.0673076923076923,0.0377358490566038,0.0238095238095238,0.105263157894737,0.087378640776699,0.111111111111111,0.0206185567010309,0.102564102564103,0.0138888888888889,0.0476190476190476,0.0306122448979592,0.208333333333333,0.0277777777777778,0.347826086956522,0.0851063829787234,0.145631067961165,0.164383561643836,0.0617283950617284,0.0588235294117647,0.473684210526316,0.121212121212121,0.0158730158730159,0.0175438596491228
nb_female,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,2.40782659207126,2.97087378640777,2.68,2.43243243243243,2.2027027027027,2.69811320754717,2.73809523809524,2.17741935483871,3.39130434782609,2.45977011494253,2.43333333333333,2.98611111111111,2.26785714285714,2.30508474576271,2.54444444444444,2.65882352941176,2.40540540540541,1.95238095238095,2.3495145631068,2.49484536082474,2.73913043478261,2.84905660377358,2.32692307692308,2.46017699115044,2.34736842105263,2.61797752808989,2.91463414634146,2.20952380952381,2.18269230769231,2.4811320754717,2.38095238095238,2.5,2.41747572815534,2.92592592592593,2.07216494845361,2.12820512820513,1.98611111111111,2.36904761904762,2.18367346938776,2.58333333333333,2.47222222222222,2.78260869565217,2.70212765957447,2.88349514563107,2.58904109589041,2.58024691358025,2.61764705882353,3.26315789473684,2.6969696969697,1.95238095238095,2.84210526315789
under18_female,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,0.900650214216149,1.07766990291262,1.37333333333333,1.01801801801802,0.797297297297297,1,1.16666666666667,0.758064516129032,1.15217391304348,0.988505747126437,0.65,1.16666666666667,0.901785714285714,0.932203389830508,1.25555555555556,0.788235294117647,1,0.676190476190476,0.922330097087379,1.11340206185567,1.05434782608696,1.11320754716981,0.951923076923077,1.24778761061947,1.05263157894737,1.2247191011236,1.14634146341463,0.638095238095238,0.711538461538462,1.06603773584906,1.04761904761905,0.921052631578947,1.06796116504854,1.27777777777778,0.494845360824742,0.487179487179487,0.847222222222222,0.75,0.86734693877551,0.916666666666667,1.09722222222222,1.34782608695652,1.19148936170213,1.11650485436893,1.01369863013699,1.23456790123457,0.926470588235294,1.15789473684211,1.27272727272727,0.73015873015873,1.15789473684211
over18_female,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,1.50717637785511,1.89320388349515,1.30666666666667,1.41441441441441,1.40540540540541,1.69811320754717,1.57142857142857,1.41935483870968,2.23913043478261,1.47126436781609,1.78333333333333,1.81944444444444,1.36607142857143,1.3728813559322,1.28888888888889,1.87058823529412,1.40540540540541,1.27619047619048,1.42718446601942,1.38144329896907,1.68478260869565,1.73584905660377,1.375,1.21238938053097,1.29473684210526,1.39325842696629,1.76829268292683,1.57142857142857,1.47115384615385,1.41509433962264,1.33333333333333,1.57894736842105,1.3495145631068,1.64814814814815,1.57731958762887,1.64102564102564,1.13888888888889,1.61904761904762,1.31632653061224,1.66666666666667,1.375,1.43478260869565,1.51063829787234,1.76699029126214,1.57534246575342,1.34567901234568,1.69117647058824,2.10526315789474,1.42424242424242,1.22222222222222,1.68421052631579
nb_ind_hh,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Average,5.15935870724219,6.16504854368932,5.58666666666667,5.77477477477477,5.16216216216216,6.26415094339623,6.21428571428571,4.51612903225806,7.39130434782609,4.90804597701149,4.81666666666667,5.93055555555556,4.80357142857143,4.64406779661017,5.41111111111111,5.6,5.09009009009009,4.04761904761905,4.92233009708738,5.41237113402062,5.66304347826087,5.66981132075472,4.72115384615385,5.2212389380531,4.92631578947368,5.43820224719101,6.42682926829268,5,4.65384615384615,5.22641509433962,5,5.10526315789474,5.38834951456311,5.92592592592593,5.02061855670103,4.69230769230769,4.81944444444444,5.27380952380952,4.81632653061224,5.375,5.65277777777778,5.82608695652174,4.8936170212766,6.14563106796117,5.32876712328767,5.88888888888889,5.17647058823529,7.31578947368421,6.27272727272727,4.79365079365079,5.6140350877193
nb_under18,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
